time_ms,mode,head,roll,pitch,lvol,rvol,bus_v,current_ma,audio_rail,fault
64039,ACTIVE,CENTER,,,,,4.964,,ON,0x00
64268,ACTIVE,CENTER,,,,,4.968,,ON,0x00
64497,ACTIVE,CENTER,,,,,4.964,,ON,0x00
64726,ACTIVE,CENTER,,,,,4.960,,ON,0x00
64955,ACTIVE,CENTER,,,,,4.964,,ON,0x00
65168,ACTIVE,CENTER,,,,,4.964,,ON,0x00
65397,ACTIVE,CENTER,,,,,4.964,,ON,0x00
65626,ACTIVE,CENTER,,,,,4.964,,ON,0x00
65856,ACTIVE,CENTER,,,,,4.968,,ON,0x00
66085,ACTIVE,CENTER,,,,,4.964,,ON,0x00
66314,ACTIVE,CENTER,,,,,4.964,,ON,0x00
66543,ACTIVE,CENTER,,,,,4.964,,ON,0x00
66772,ACTIVE,CENTER,,,,,4.964,,ON,0x00
67001,ACTIVE,CENTER,,,,,4.964,,ON,0x00
67230,ACTIVE,CENTER,,,,,4.964,,ON,0x00
67459,ACTIVE,CENTER,,,,,4.964,,ON,0x00
67688,ACTIVE,CENTER,,,,,4.964,,ON,0x00
67917,ACTIVE,CENTER,,,,,4.964,,ON,0x00
68133,ACTIVE,CENTER,,,,,4.964,,ON,0x00
68362,ACTIVE,CENTER,,,,,4.960,,ON,0x00
68592,ACTIVE,CENTER,,,,,4.964,,ON,0x00
68821,ACTIVE,CENTER,,,,,4.964,,ON,0x00
69050,ACTIVE,CENTER,,,,,4.964,,ON,0x00
69279,ACTIVE,CENTER,,,,,4.964,,ON,0x00
69508,ACTIVE,CENTER,,,,,4.964,,ON,0x00
69737,ACTIVE,CENTER,,,,,4.964,,ON,0x00
69966,ACTIVE,CENTER,,,,,4.964,,ON,0x00
70195,ACTIVE,CENTER,,,,,4.964,,ON,0x00
70424,ACTIVE,CENTER,,,,,4.964,,ON,0x00
70653,ACTIVE,CENTER,,,,,4.964,,ON,0x00
70882,ACTIVE,CENTER,,,,,4.964,,ON,0x00
71096,ACTIVE,CENTER,,,,,4.964,,ON,0x00
71325,ACTIVE,CENTER,,,,,4.964,,ON,0x00
71554,ACTIVE,CENTER,,,,,4.964,,ON,0x00
71783,ACTIVE,CENTER,,,,,4.968,,ON,0x00
72012,ACTIVE,CENTER,,,,,4.968,,ON,0x00
72241,ACTIVE,CENTER,,,,,4.964,,ON,0x00
72470,ACTIVE,CENTER,,,,,4.964,,ON,0x00
72699,ACTIVE,CENTER,,,,,4.968,,ON,0x00
72929,ACTIVE,CENTER,,,,,4.964,,ON,0x00
73158,ACTIVE,CENTER,,,,,4.964,,ON,0x00
73387,ACTIVE,CENTER,,,,,4.964,,ON,0x00
73616,ACTIVE,CENTER,,,,,4.968,,ON,0x00
73832,ACTIVE,CENTER,,,,,4.968,,ON,0x00
74061,ACTIVE,CENTER,,,,,4.964,,ON,0x00
74290,ACTIVE,CENTER,,,,,4.964,,ON,0x00
74519,ACTIVE,CENTER,,,,,4.964,,ON,0x00
74748,ACTIVE,CENTER,,,,,4.964,,ON,0x00
74977,ACTIVE,CENTER,,,,,4.964,,ON,0x00
75206,ACTIVE,CENTER,,,,,4.964,,ON,0x00
75435,ACTIVE,CENTER,,,,,4.964,,ON,0x00
75665,ACTIVE,CENTER,,,,,4.964,,ON,0x00
75894,ACTIVE,CENTER,,,,,4.968,,ON,0x00
76123,ACTIVE,CENTER,,,,,4.960,,ON,0x00
76352,ACTIVE,CENTER,,,,,4.964,,ON,0x00
76581,ACTIVE,CENTER,,,,,4.964,,ON,0x00
76798,ACTIVE,CENTER,,,,,4.968,,ON,0x00
77002,ACTIVE,CENTER,,,,,4.964,,ON,0x00
77231,ACTIVE,CENTER,,,,,4.964,,ON,0x00
77460,ACTIVE,CENTER,,,,,4.964,,ON,0x00
77689,ACTIVE,CENTER,,,,,4.960,,ON,0x00
77918,ACTIVE,CENTER,,,,,4.968,,ON,0x00
78147,ACTIVE,CENTER,,,,,4.964,,ON,0x00
78376,ACTIVE,CENTER,,,,,4.964,,ON,0x00
78605,ACTIVE,CENTER,,,,,4.964,,ON,0x00
78834,ACTIVE,CENTER,,,,,4.964,,ON,0x00
79064,ACTIVE,CENTER,,,,,4.964,,ON,0x00
79293,ACTIVE,CENTER,,,,,4.964,,ON,0x00
79522,ACTIVE,CENTER,,,,,4.964,,ON,0x00
79735,ACTIVE,CENTER,,,,,4.964,,ON,0x00
79964,ACTIVE,CENTER,,,,,4.964,,ON,0x00
80193,ACTIVE,CENTER,,,,,4.964,,ON,0x00
80422,ACTIVE,CENTER,,,,,4.964,,ON,0x00
80651,ACTIVE,CENTER,,,,,4.964,,ON,0x00
80880,ACTIVE,CENTER,,,,,4.964,,ON,0x00
81110,ACTIVE,CENTER,,,,,4.964,,ON,0x00
81339,ACTIVE,CENTER,,,,,4.964,,ON,0x00
81568,ACTIVE,CENTER,,,,,4.964,,ON,0x00
81797,ACTIVE,CENTER,,,,,4.964,,ON,0x00
82026,ACTIVE,CENTER,,,,,4.964,,ON,0x00
82255,ACTIVE,CENTER,,,,,4.964,,ON,0x00
82484,ACTIVE,CENTER,,,,,4.964,,ON,0x00
82700,ACTIVE,CENTER,,,,,4.964,,ON,0x00
82929,ACTIVE,CENTER,,,,,4.964,,ON,0x00
83158,ACTIVE,CENTER,,,,,4.964,,ON,0x00
83387,ACTIVE,CENTER,,,,,4.964,,ON,0x00
83616,ACTIVE,CENTER,,,,,4.964,,ON,0x00
83845,ACTIVE,CENTER,,,,,4.964,,ON,0x00
84074,ACTIVE,CENTER,,,,,4.964,,ON,0x00
